Event,City,Country,Distance,Date,Link
Madrid Half Marathon,Madrid,Spain,Half Marathon,4/27/2025,https://rocknrollmadridrun.com/?lang=en
TCS London Marathon,London,UK,Marathon,4/27/2025,https://www.tcslondonmarathon.com/
Madrid Marathon,Madrid,Spain,Marathon,4/27/2025,https://rocknrollmadridrun.com/?lang=en
Manchester Marathon,Manchester,UK,Marathon,4/27/2025,https://www.manchestermarathon.co.uk/home/
Hamburg Marathon,Hamburg,Germany,Marathon,4/27/2025,https://haspa-marathon-hamburg.de/
Belfast Marathon,Belfast,Northern Ireland,Marathon,5/4/2025,https://belfastcitymarathon.com/events/marathon
Copenhagen Marathon,Copenhagen,Denmark,Marathon,5/11/2025,https://copenhagenmarathon.dk/en/
Geneva Marathon,Geneva,Switzerland,Marathon,5/11/2025,https://www.generaligenevemarathon.com/en
Göteborgsvarvet Half,Gothenburg,Sweden,Half Marathon,5/17/2025,Göteborgsvarvet Half Marathon
Hackney Half Marathon,London,UK,Half Marathon,5/18/2025,Hackney Half Marathon
BMO Vancouver Half Marathon,Vancouver,Canada,Half Marathon,5/22/2025,https://canadarunningseries.com/vancouver-half-marathon/
Edinburgh Half Marathon,Edinburgh,UK,Half Marathon,5/25/2025,https://www.edinburghmarathon.com/halfmarathon
Edinburgh Marathon,Edinburgh,UK,Marathon,5/25/2025,https://www.edinburghmarathon.com/marathon
Malmö Half Marathon,Malmö,Sweden,Half Marathon,6/15/2025,Malmö Half Marathon
Gold Coast Marathon,Gold Coast,Australia,Marathon,7/6/2025,Gold Coast Marathon
Great North Run,Newcastle,UK,Half Marathon,7/9/2025,Great North Run
San Francisco Half Marathon,San Francisco,USA,Half Marathon,7/27/2025,https://www.thesfmarathon.com/1st-half-marathon/
Stockholm Half Marathon,Stockholm,Sweden,Half Marathon,8/30/2025,https://www.stockholmhalvmarathon.se/
The Big Half,London,UK,Half Marathon,9/7/2025,https://www.thebighalf.co.uk/
Singapore Marathon,Singapore,Singapore,Marathon,12/8/2024,https://singaporemarathon.com/
Houston Marathon,Houston,USA,Marathon,1/19/2025,https://www.chevronhoustonmarathon.com/
Osaka Marathon,Osaka,Japan,Marathon,2/23/2025,https://www.osaka-marathon.com/
Seoul Marathon,Seoul,South Korea,Marathon,3/17/2025,https://seoul-marathon.com/
Marine Corps Marathon,Washington DC,USA,Marathon,10/27/2024,https://www.marinemarathon.com/
Philadelphia Marathon,Philadelphia,USA,Marathon,11/24/2024,https://philadelphiamarathon.com/
Toronto Waterfront Marathon,Toronto,Canada,Marathon,10/20/2024,https://www.torontowaterfrontmarathon.com/
Shanghai Marathon,Shanghai,China,Marathon,11/17/2024,http://www.shmarathon.com/
Warsaw Marathon,Warsaw,Poland,Marathon,9/29/2024,https://www.pzumaratonwarszawski.com/en/
Nice-Cannes Marathon,Nice,France,Marathon,11/3/2024,https://www.marathon06.com/
Budapest Marathon,Budapest Marathon,Hungary,Marathon,10/13/2024,https://runinbudapest.com/
Oslo Marathon,Oslo,Norway,Marathon,9/21/2024,https://oslomaraton.no/en/
Bath Half Marathon,Bath,UK,Half Marathon,3/16/2025,https://bathhalf.co.uk/
Reading Half Marathon,Reading,UK,Half Marathon,3/23/2025,https://www.readinghalfmarathon.com/
Turin Half Marathon,Turin,Italy,Half Marathon,10/6/2024,https://www.torinhalf.com/
Montreal Half Marathon,Montreal,Canada,Half Marathon,9/28/2024,https://www.mtlmarathon.com/
